player_id,total_games_played,n_minutes_played,yellow_card,second_yellow_card,red_card,n_tournaments,n_tournaments_played,total_final_match_played,n_wc_wins,total_goals,total_penalty_scored,total_own_goals
P-07607,11,921,2,0,0,2,2,1,1,0,0,0
P-03872,3,269,2,0,0,1,1,0,0,1,0,0
P-06359,4,315,2,0,0,1,1,0,0,1,0,0
P-07536,5,480,2,0,0,2,2,0,0,0,0,0
P-02328,7,660,2,0,0,1,1,1,0,0,0,0
P-02103,10,930,2,0,0,2,2,0,0,0,0,0
P-03824,2,180,2,0,0,1,1,0,0,0,0,0
P-07622,11,872,2,0,1,3,3,0,0,2,0,0
P-03901,4,360,2,0,0,1,1,0,0,0,0,0
P-01531,10,809,2,1,0,2,2,1,0,0,0,0
P-03820,4,278,2,0,1,1,1,1,0,1,0,0
P-07650,4,290,2,0,0,2,2,0,0,0,0,0
P-01336,3,270,2,0,0,1,1,0,0,0,0,0
P-07662,7,419,2,0,0,3,2,0,0,1,0,0
P-06333,2,134,2,0,0,1,1,0,0,0,0,0
P-07680,11,1027,2,1,0,3,3,0,0,6,2,0
P-06327,6,549,2,0,0,1,1,0,0,0,0,0
P-07695,12,992,2,0,0,2,2,2,0,5,3,0
P-07722,11,1020,2,0,0,2,2,0,0,0,0,0
P-09801,11,723,2,0,0,2,2,1,0,0,0,0
P-02188,7,582,2,0,1,2,2,0,0,0,0,0
P-00705,12,1110,2,0,0,3,2,1,2,3,2,0
P-00726,8,637,2,0,0,2,2,0,0,1,0,0
P-06466,2,180,2,0,0,1,1,0,0,0,0,0
P-01052,2,155,2,0,0,1,1,0,0,0,0,0
P-02314,5,480,2,0,0,2,2,0,0,0,0,0
P-07401,6,441,2,0,0,2,2,0,0,0,0,0
P-01058,3,255,2,0,0,1,1,0,0,0,0,0
P-07407,6,493,2,0,0,2,2,0,0,0,0,0
P-07415,5,270,2,0,0,3,3,0,0,0,0,0
P-03981,7,583,2,0,1,2,2,0,0,0,0,0
P-00730,3,270,2,0,0,1,1,0,0,0,0,0
P-07435,6,553,2,0,0,1,1,0,0,1,0,0
P-07448,4,261,2,0,0,1,1,0,0,1,0,0
P-09815,4,361,2,0,0,1,1,0,0,1,0,0
P-07456,3,229,2,0,0,1,1,0,0,0,0,0
P-03978,9,802,2,0,0,2,2,1,0,0,0,0
P-07465,6,493,2,0,0,2,2,0,0,1,0,0
P-03964,3,247,2,0,0,1,1,0,0,1,0,0
P-06382,2,103,2,0,0,1,1,0,0,0,0,0
P-06373,17,1554,2,0,0,3,3,1,0,6,0,0
P-06372,13,989,2,0,0,2,2,0,0,0,0,0
P-03930,2,208,2,0,1,1,1,0,0,0,0,0
P-00709,7,690,2,0,0,2,2,0,0,0,0,0
P-03925,11,1020,2,0,0,3,3,0,0,0,0,0
P-06313,3,242,2,0,0,1,1,0,0,0,0,0
P-07776,6,540,2,0,0,1,1,0,0,0,0,0
P-03754,2,180,2,0,0,1,1,0,0,0,0,0
P-07960,8,780,2,0,0,2,2,0,0,0,0,0
P-01851,5,450,2,0,0,3,2,0,0,0,0,0
P-07978,6,521,2,1,0,2,2,0,0,0,0,0
P-01852,4,330,2,0,0,1,1,0,0,0,0,0
P-08018,7,391,2,0,0,2,2,0,0,0,0,0
P-05305,5,450,2,0,0,1,1,0,0,1,0,0
P-08037,3,182,2,0,0,1,1,0,0,0,0,0
P-06168,3,270,2,0,0,1,1,0,0,0,0,0
P-03575,8,683,2,0,0,2,2,0,0,2,0,0
P-05172,2,98,2,0,0,1,1,0,0,0,0,0
P-09732,2,180,2,0,0,1,1,0,0,0,0,0
P-06162,9,615,2,0,0,4,4,0,0,3,2,0
P-08084,4,330,2,0,0,1,1,0,0,1,0,0
P-00562,2,166,2,0,0,1,1,0,0,0,0,0
P-03540,7,645,2,0,0,1,1,0,0,1,0,0
P-06156,5,318,2,0,0,2,2,0,0,2,1,0
P-08119,6,417,2,0,0,2,2,0,0,0,0,0
P-08122,3,270,2,0,0,1,1,0,0,0,0,0
P-08128,7,630,2,0,0,1,1,0,0,0,0,0
P-01867,11,912,2,0,0,2,2,0,0,2,0,0
P-08138,15,1211,2,0,0,3,3,1,1,6,0,0
P-00548,3,243,2,0,0,1,1,0,0,0,0,0
P-04874,3,209,2,0,0,1,1,0,0,1,0,0
P-04880,4,349,2,0,0,1,1,0,0,1,0,0
P-06175,3,149,2,0,0,1,1,0,0,0,0,0
P-09741,3,270,2,0,0,1,1,0,0,0,0,0
P-02338,12,1140,2,0,0,3,3,1,1,1,0,0
P-09742,2,180,2,0,0,1,1,0,0,0,0,0
P-03743,3,270,2,0,0,1,1,0,0,0,0,0
P-04027,3,254,2,0,0,1,1,0,0,0,0,1
P-07790,10,456,2,0,0,2,2,0,0,1,0,1
P-04818,11,915,2,0,0,3,3,0,0,0,0,0
P-03724,4,319,2,0,0,1,1,0,0,0,0,0
P-09775,7,610,2,0,0,2,2,0,0,1,0,0
P-07809,6,511,2,0,0,1,1,0,0,0,0,0
P-07815,11,948,2,0,1,3,3,0,0,0,0,0
P-01098,5,360,2,0,0,2,2,0,0,0,0,0
P-09772,3,270,2,0,0,1,1,0,0,0,0,0
P-01101,3,241,2,0,0,2,2,0,0,0,0,0
P-00620,4,273,2,0,0,2,2,0,0,0,0,0
P-02345,2,139,2,0,0,1,1,0,0,0,0,0
P-03676,8,553,2,0,0,2,2,0,0,6,1,0
P-03659,7,630,2,0,0,1,1,0,0,0,0,0
P-07877,16,1430,2,0,0,3,3,1,1,9,0,0
