match_name,score,yellow_card,red_card,substitutions,squad_x_play_in_the_match
Tunisia v West Germany,0,2,0,1,0
Argentina v Italy,-1,11,1,11,1
Argentina v Italy,-1,11,1,11,1
Argentina v Italy,-1,11,1,11,1
Argentina v Italy,-1,11,1,11,1
Argentina v Italy,-1,11,1,11,1
Austria v Brazil,-1,0,0,4,0
Austria v Brazil,-1,0,0,4,0
Spain v Sweden,1,1,0,3,0
Spain v Sweden,1,1,0,3,0
Iran v Peru,-3,0,0,4,0
Netherlands v Scotland,-1,1,0,2,0
Austria v Netherlands,-4,0,0,2,0
Italy v West Germany,0,11,0,11,1
Italy v West Germany,0,11,0,11,1
Italy v West Germany,0,11,0,11,1
Italy v West Germany,0,11,0,11,1
Brazil v Peru,3,0,0,8,0
Brazil v Peru,3,0,0,8,0
Argentina v Poland,2,2,0,3,0
Argentina v Poland,2,2,0,3,0
Peru v Poland,-1,4,0,4,0
Peru v Poland,-1,4,0,4,0
Austria v Italy,-1,6,0,13,1
Austria v Italy,-1,6,0,13,1
Austria v Italy,-1,6,0,13,1
Austria v Italy,-1,6,0,13,1
Netherlands v West Germany,0,7,1,3,0
Netherlands v West Germany,0,7,1,3,0
Netherlands v West Germany,0,7,1,3,0
