match_name,home_team_id,home_team_name,home_team_code,away_team_id,away_team_name,away_team_code,score,home_team_score,away_team_score,home_team_score_margin,away_team_score_margin,home_team_score_penalties,away_team_score_penalties,home_team_win,away_team_win,yellow_card,red_card,substitutions
Brazil v Serbia,T-09,Brazil,BRA,T-63,Serbia,SRB,2–0,2,0,2,-2,0,0,1,0,3,0,6
Costa Rica v Switzerland,T-16,Costa Rica,CRI,T-72,Switzerland,CHE,2–2,2,2,0,0,0,0,0,0,6,0,6
Japan v Poland,T-42,Japan,JPN,T-55,Poland,POL,0–1,0,1,-1,1,0,0,0,1,1,0,5
Colombia v Senegal,T-15,Colombia,COL,T-62,Senegal,SEN,1–0,1,0,1,-1,0,0,1,0,2,0,6
Belgium v England,T-06,Belgium,BEL,T-27,England,ENG,1–0,1,0,1,-1,0,0,1,0,3,0,8
Panama v Tunisia,T-52,Panama,PAN,T-75,Tunisia,TUN,1–2,1,2,-1,1,0,0,0,1,6,0,6
Argentina v France,T-03,Argentina,ARG,T-28,France,FRA,3–4,3,4,-1,1,0,0,0,1,8,0,6
Portugal v Uruguay,T-56,Portugal,PRT,T-80,Uruguay,URY,1–2,1,2,-1,1,0,0,0,1,1,0,6
Russia v Spain,T-59,Russia,RUS,T-70,Spain,ESP,1–1,1,1,0,0,4,3,1,0,3,0,8
Croatia v Denmark,T-17,Croatia,HRV,T-21,Denmark,DNK,1–1,1,1,0,0,3,2,1,0,1,0,8
Brazil v Mexico,T-09,Brazil,BRA,T-44,Mexico,MEX,2–0,2,0,2,-2,0,0,1,0,10,0,12
Belgium v Japan,T-06,Belgium,BEL,T-42,Japan,JPN,3–2,3,2,1,-1,0,0,1,0,1,0,4
Sweden v Switzerland,T-71,Sweden,SWE,T-72,Switzerland,CHE,1–0,1,0,1,-1,0,0,1,0,3,1,5
Colombia v England,T-15,Colombia,COL,T-27,England,ENG,1–1,1,1,0,0,3,4,0,1,13,0,14
France v Uruguay,T-28,France,FRA,T-80,Uruguay,URY,2–0,2,0,2,-2,0,0,1,0,12,1,12
Belgium v Brazil,T-06,Belgium,BEL,T-09,Brazil,BRA,2–1,2,1,1,-1,0,0,1,0,6,0,9
England v Sweden,T-27,England,ENG,T-71,Sweden,SWE,2–0,2,0,2,-2,0,0,1,0,6,0,12
Croatia v Russia,T-17,Croatia,HRV,T-59,Russia,RUS,2–2,2,2,0,0,4,3,1,0,5,0,8
Belgium v France,T-06,Belgium,BEL,T-28,France,FRA,0–1,0,1,-1,1,0,0,0,1,5,0,5
Croatia v England,T-17,Croatia,HRV,T-27,England,ENG,2–1,2,1,1,-1,0,0,1,0,3,0,8
Belgium v England,T-06,Belgium,BEL,T-27,England,ENG,2–0,2,0,2,-2,0,0,1,0,3,0,6
Croatia v France,T-17,Croatia,HRV,T-28,France,FRA,2–4,2,4,-2,2,0,0,0,1,6,1,10
